
conv1,mm,50176,147,64,1
BatchNorm1,batchnorm,64,224,224,32
conv2,mm,12544,576,128,1
BatchNorm2,batchnorm,128,112,112,32
conv3,mm,3136,1152,256,1
BatchNorm3,batchnorm,256,56,56,32
conv4,mm,3136,2304,256,1
BatchNorm4,batchnorm,256,56,56,32
conv5,mm,784,2304,512,1
BatchNorm5,batchnorm,512,28,28,32
conv6,mm,784,4608,512,1
BatchNorm6,batchnorm,512,28,28,32
conv7,mm,196,4608,512,1
BatchNorm7,batchnorm,512,14,14,32
conv8,mm,196,4608,512,1
BatchNorm8,batchnorm,512,14,14,32
fc1,mm,1,25088,4096,1
fc2,mm,1,4096,4096,32
fc3,mm,1,4096,1000,32
softmax,softmax,1000,1,1,32
